id,temp,lvl,time,sex,rep,prod,dead,t_coma
38-150-M-5,38,150,16.82871026,M,5,3.05,0,12
38-150-M-6,38,150,16.82871026,M,6,1.09,0,13
38-150-M-7,38,150,16.82871026,M,7,0,1,5.5
38-150-M-8,38,150,16.82871026,M,8,5.35,0,14
38-150-M-9,38,150,16.82871026,M,9,5.02,0,5.75
38-150-M-10,38,150,16.82871026,M,10,6.76,0,5.75
38-150-M-11,38,150,16.82871026,M,11,2.95,0,12.33
38-150-M-12,38,150,16.82871026,M,12,5.24,0,5.67
38-150-M-13,38,150,16.82871026,M,13,0,0,5.83
38-150-M-14,38,150,16.82871026,M,14,1.96,0,12.77
38-150-M-15,38,150,16.82871026,M,15,0,1,3.43
38-125-M-1,38,125,14.02392522,M,1,4.36,0,5.5
38-125-M-2,38,125,14.02392522,M,2,0,1,5.58
38-125-M-3,38,125,14.02392522,M,3,3.82,0,5.68
38-125-M-4,38,125,14.02392522,M,4,5.45,0,5.5
38-125-M-5,38,125,14.02392522,M,5,2.18,0,7
38-125-M-6,38,125,14.02392522,M,6,0.44,0,7.17
38-125-M-7,38,125,14.02392522,M,7,0,0,7.17
38-125-M-8,38,125,14.02392522,M,8,0,1,7.53
38-125-M-9,38,125,14.02392522,M,9,5.35,0,7.67
38-125-M-10,38,125,14.02392522,M,10,4.25,0,7.5
38-125-M-11,38,125,14.02392522,M,11,3.27,0,7.33
38-125-M-12,38,125,14.02392522,M,12,0,0,7.42
38-125-M-13,38,125,14.02392522,M,13,1.31,0,7.5
38-125-M-14,38,125,14.02392522,M,14,0,1,3.5
38-125-M-15,38,125,14.02392522,M,15,8.95,0,7.58
38-100-M-1,38,100,11.21914017,M,1,7.75,0,
38-100-M-2,38,100,11.21914017,M,2,0.76,0,6
38-100-M-3,38,100,11.21914017,M,3,2.4,1,9.5
38-100-M-4,38,100,11.21914017,M,4,0,1,6.5
38-100-M-5,38,100,11.21914017,M,5,4.25,0,9.65
38-100-M-6,38,100,11.21914017,M,6,6.22,0,
38-100-M-7,38,100,11.21914017,M,7,4.58,0,
38-100-M-8,38,100,11.21914017,M,8,2.95,0,7.33
38-100-M-9,38,100,11.21914017,M,9,0,0,
38-100-M-10,38,100,11.21914017,M,10,6.76,0,9.5
38-100-M-11,38,100,11.21914017,M,11,3.38,0,9.83
38-100-M-12,38,100,11.21914017,M,12,5.13,0,
38-100-M-13,38,100,11.21914017,M,13,3.71,0,9.5
38-100-M-14,38,100,11.21914017,M,14,9.82,0,7.17
38-100-M-15,38,100,11.21914017,M,15,0,1,6.5
38-75-M-1,38,75,8.414355131,M,1,4.15,0,
38-75-M-2,38,75,8.414355131,M,2,2.84,0,
38-75-M-3,38,75,8.414355131,M,3,5.67,0,6.5
38-75-M-4,38,75,8.414355131,M,4,4.91,0,
38-75-M-5,38,75,8.414355131,M,5,0,0,6.7
38-75-M-6,38,75,8.414355131,M,6,1.75,0,
38-75-M-7,38,75,8.414355131,M,7,4.8,0,
38-75-M-8,38,75,8.414355131,M,8,5.89,0,
38-75-M-9,38,75,8.414355131,M,9,3.71,0,
38-75-M-10,38,75,8.414355131,M,10,4.58,0,
38-75-M-11,38,75,8.414355131,M,11,9.05,0,
38-75-M-12,38,75,8.414355131,M,12,0,1,
38-75-M-13,38,75,8.414355131,M,13,5.78,0,
38-75-M-14,38,75,8.414355131,M,14,6.55,0,
38-75-M-15,38,75,8.414355131,M,15,10.91,1,5.67
38-50-M-1,38,50,5.609570087,M,1,2.84,0,
38-50-M-2,38,50,5.609570087,M,2,2.62,0,
38-50-M-3,38,50,5.609570087,M,3,5.02,0,
38-50-M-4,38,50,5.609570087,M,4,5.67,0,
38-50-M-5,38,50,5.609570087,M,5,6.44,0,
38-50-M-6,38,50,5.609570087,M,6,0,1,4.97
38-50-M-7,38,50,5.609570087,M,7,0,1,5.67
38-50-M-8,38,50,5.609570087,M,8,6.55,1,
38-50-M-9,38,50,5.609570087,M,9,5.24,0,
38-50-M-10,38,50,5.609570087,M,10,0,1,
38-50-M-11,38,50,5.609570087,M,11,0,0,
38-50-M-12,38,50,5.609570087,M,12,0,1,2.67
38-50-M-13,38,50,5.609570087,M,13,5.13,0,
38-50-M-14,38,50,5.609570087,M,14,3.49,0,5.17
38-50-M-15,38,50,5.609570087,M,15,3.05,0,5.17
